Disease Name,Symptoms,Medicine Name,Dosage Instructions
Measles,"Skin rash, High fever, Bleeding gums",Losartan,Take with water after meals
Sinusitis,"Cough, Mucus production",Chloroquine,Take 2 tablets daily after meals
COVID-19,"Wheezing, Shortness of breath",Isoniazid,1 tablet every 12 hours
Hepatitis C,"Chills, Sweating, Muscle pain",Doxycycline,Take 5ml syrup before bedtime
Migraine,"Facial pain, Runny nose, Headache",Doxycycline,Take 5ml syrup before bedtime
Influenza,"Nausea, Sensitivity to light",Amoxicillin,1 tablet every 12 hours
Typhoid,"Nausea, Sensitivity to light",Omeprazole,Take 2 tablets daily after meals
Typhoid,"Shortness of breath, Chest pain",Chloroquine,1 tablet every 12 hours
Arthritis,"Headache, Dizziness, Blurred vision",Cetirizine,Apply cream twice a day
Influenza,"Persistent cough, Weight loss, Night sweats",Rifampin,Take before sleep
Food Poisoning,"Cough, Mucus production",Ventolin,Inject once daily
Sinusitis,"Skin rash, Fever",Azithromycin,1 capsule every morning with food
Bronchitis,"Frequent urination, Increased thirst",Artemether,Take 2 tablets daily after meals
Common Cold,"Frequent urination, Increased thirst",Amoxicillin,Apply cream twice a day
Hepatitis C,"Facial pain, Runny nose, Headache",Azithromycin,Take 1 tablet every 6 hours
Migraine,"Chills, Sweating, Muscle pain",Chloroquine,Take 2 tablets daily after meals
Tuberculosis,"Facial pain, Runny nose, Headache",Metformin,1 tablet every 12 hours
Hypertension,"Fever, Loss of taste/smell",Paracetamol,Take before sleep
Typhoid,"Swollen salivary glands, Fever",Rifampin,1 capsule every morning with food
Diabetes,"Swollen salivary glands, Fever",Azithromycin,Take 1 tablet every 6 hours
Typhoid,"Persistent cough, Weight loss, Night sweats",Losartan,Apply cream twice a day
Measles,"Sneezing, Sore throat",Methotrexate,Use inhaler as needed
Sinusitis,"Abdominal pain, High fever, Loss of appetite",Ventolin,Use inhaler as needed
Hepatitis C,"Nausea, Vomiting, Diarrhea",Paracetamol,1 capsule every morning with food
Common Cold,"Abdominal pain, High fever, Loss of appetite",Metformin,Apply cream twice a day
Arthritis,"Shortness of breath, Chest pain",Cetirizine,Take before sleep
Hypertension,"Jaundice, Dark urine, Fatigue",Aspirin,Take before sleep
Arthritis,"Wheezing, Shortness of breath",Cetirizine,Inject once daily
Malaria,"Fever, Loss of taste/smell",Aspirin,Take 1 tablet every 6 hours
Influenza,"Sneezing, Sore throat",Aspirin,Use inhaler as needed
Common Cold,"Joint pain, Swelling",Artemether,Take 2 tablets daily after meals
Arthritis,"Swollen salivary glands, Fever",Ventolin,Use inhaler as needed
Chickenpox,"Shortness of breath, Chest pain",Azithromycin,Take 1 tablet every 6 hours
Diabetes,"Chills, Sweating, Muscle pain",Prednisone,Apply cream twice a day
Dengue,"Fever, Loss of taste/smell",Prednisone,Apply cream twice a day
Bronchitis,"Persistent cough, Weight loss, Night sweats",Losartan,Take 5ml syrup before bedtime
Bronchitis,"Chills, Sweating, Muscle pain",Paracetamol,Take 1 tablet every 6 hours
Sinusitis,"Sneezing, Sore throat",Isoniazid,Use inhaler as needed
Pneumonia,"Cough, Mucus production",Cetirizine,Apply cream twice a day
Asthma,"Nausea, Sensitivity to light",Doxycycline,1 capsule every morning with food
Hepatitis B,"Facial pain, Runny nose, Headache",Loratadine,Use inhaler as needed
Tuberculosis,"Headache, Dizziness, Blurred vision",Paracetamol,1 capsule every morning with food
Hypertension,"Shortness of breath, Chest pain",Doxycycline,1 capsule every morning with food
Mumps,"Red spots on skin, Fever",Losartan,Use inhaler as needed
Food Poisoning,"Fever, Cough, Fatigue",Loratadine,Take 2 tablets daily after meals
Hypertension,"Facial pain, Runny nose, Headache",Hydroxychloroquine,Inject once daily
Hepatitis B,"Chills, Sweating, Muscle pain",Aspirin,1 capsule every morning with food
Bronchitis,"Nausea, Sensitivity to light",Zinc Sulfate,Take 2 tablets daily after meals
Influenza,"Joint pain, Swelling",Prednisone,Inject once daily
Common Cold,"Chills, Sweating, Muscle pain",Artemether,Take with water after meals
Food Poisoning,"Persistent cough, Weight loss, Night sweats",Chloroquine,Take 1 tablet every 6 hours
Sinusitis,"Nausea, Vomiting, Diarrhea",Omeprazole,Apply cream twice a day
Bronchitis,"Chills, Sweating, Muscle pain",Amoxicillin,Take with water after meals
Hepatitis C,"Wheezing, Shortness of breath",Azithromycin,Take before sleep
Bronchitis,"Abdominal pain, High fever, Loss of appetite",Cetirizine,Take 1 tablet every 6 hours
Bronchitis,"Chills, Sweating, Muscle pain",Vitamin C,1 capsule every morning with food
Influenza,"Nausea, Vomiting, Diarrhea",Losartan,Take with water after meals
Mumps,"Facial pain, Runny nose, Headache",Ibuprofen,Inject once daily
Tuberculosis,"Joint pain, Swelling",Doxycycline,Inject once daily
Sinusitis,"Red spots on skin, Fever",Rifampin,Take 1 tablet every 6 hours
Influenza,"Cough, Mucus production",Ibuprofen,Take 2 tablets daily after meals
Typhoid,"Headache, Dizziness, Blurred vision",Methotrexate,1 capsule every morning with food
Tuberculosis,"Headache, Dizziness, Blurred vision",Vitamin C,Take 2 tablets daily after meals
Migraine,"Fever, Cough, Fatigue",Losartan,1 tablet every 12 hours
Hypertension,"Shortness of breath, Chest pain",Metformin,Inject once daily
Influenza,"Nausea, Sensitivity to light",Omeprazole,Take before sleep
Chickenpox,"Abdominal pain, High fever, Loss of appetite",Ventolin,Take 5ml syrup before bedtime
Malaria,"Jaundice, Dark urine, Fatigue",Ventolin,1 capsule every morning with food
Arthritis,"Abdominal pain, High fever, Loss of appetite",Chloroquine,Take 5ml syrup before bedtime
Food Poisoning,"Cough, Mucus production",Vitamin C,Take 2 tablets daily after meals
Arthritis,"Persistent cough, Weight loss, Night sweats",Cetirizine,Use inhaler as needed
Diabetes,"Persistent cough, Weight loss, Night sweats",Ventolin,Take with water after meals
Measles,"Cough, Mucus production",Losartan,Take with water after meals
Typhoid,"Nausea, Vomiting, Diarrhea",Hydroxychloroquine,Apply cream twice a day
Bronchitis,"Fever, Loss of taste/smell",Loratadine,1 capsule every morning with food
Asthma,"Swollen salivary glands, Fever",Artemether,1 tablet every 12 hours
Common Cold,"Persistent cough, Weight loss, Night sweats",Vitamin C,Take before sleep
Diabetes,"Shortness of breath, Chest pain",Prednisone,1 tablet every 12 hours
Measles,"Chills, Sweating, Muscle pain",Methotrexate,1 tablet every 12 hours
Hypertension,"Shortness of breath, Chest pain",Vitamin C,Take 1 tablet every 6 hours
Hepatitis B,"Headache, Dizziness, Blurred vision",Azithromycin,1 capsule every morning with food
Hypertension,"Wheezing, Shortness of breath",Methotrexate,Apply cream twice a day
COVID-19,"Cough, Mucus production",Omeprazole,Apply cream twice a day
Diabetes,"Headache, Dizziness, Blurred vision",Rifampin,Inject once daily
Arthritis,"Facial pain, Runny nose, Headache",Aspirin,Use inhaler as needed
Hepatitis C,"Swollen salivary glands, Fever",Vitamin C,Inject once daily
Sinusitis,"Red spots on skin, Fever",Chloroquine,Take before sleep
Asthma,"Skin rash, Fever",Ventolin,Take 5ml syrup before bedtime
Hepatitis C,"Fever, Cough, Fatigue",Amoxicillin,Use inhaler as needed
COVID-19,"Frequent urination, Increased thirst",Ventolin,Take 1 tablet every 6 hours
Diabetes,"Chills, Sweating, Muscle pain",Cetirizine,Take 5ml syrup before bedtime
Migraine,"Skin rash, High fever, Bleeding gums",Amoxicillin,Take with water after meals
Chickenpox,"Sneezing, Sore throat",Azithromycin,Take before sleep
Dengue,"Chills, Sweating, Muscle pain",Losartan,Take 2 tablets daily after meals
Migraine,"Cough, Mucus production",Hydroxychloroquine,1 capsule every morning with food
Food Poisoning,"Cough, Mucus production",Ventolin,Take 5ml syrup before bedtime
Malaria,"Chills, Sweating, Muscle pain",Paracetamol,Take before sleep
Diabetes,"Frequent urination, Increased thirst",Rifampin,Use inhaler as needed
Malaria,"Cough, Mucus production",Losartan,Take 1 tablet every 6 hours
Typhoid,"Nausea, Sensitivity to light",Artemether,Take 2 tablets daily after meals
Diabetes,"Jaundice, Dark urine, Fatigue",Losartan,Take with water after meals
Chickenpox,"Chills, Sweating, Muscle pain",Omeprazole,Take before sleep
Hepatitis B,"Cough, Mucus production",Azithromycin,Take 1 tablet every 6 hours
Sinusitis,"Wheezing, Shortness of breath",Hydroxychloroquine,Take 5ml syrup before bedtime
Pneumonia,"Frequent urination, Increased thirst",Prednisone,Take 5ml syrup before bedtime
Influenza,"Nausea, Sensitivity to light",Omeprazole,Take 1 tablet every 6 hours
Diabetes,"Wheezing, Shortness of breath",Loratadine,Take with water after meals
Influenza,"Red spots on skin, Fever",Hydroxychloroquine,Take 1 tablet every 6 hours
Migraine,"Nausea, Sensitivity to light",Zinc Sulfate,Take 5ml syrup before bedtime
Arthritis,"Jaundice, Dark urine, Fatigue",Ibuprofen,1 capsule every morning with food
COVID-19,"Red spots on skin, Fever",Ventolin,Take 5ml syrup before bedtime
Diabetes,"Red spots on skin, Fever",Cetirizine,Take 5ml syrup before bedtime
Pneumonia,"Cough, Mucus production",Omeprazole,Take before sleep
Sinusitis,"Chills, Sweating, Muscle pain",Ventolin,Inject once daily
Tuberculosis,"Cough, Mucus production",Prednisone,Apply cream twice a day
Food Poisoning,"Skin rash, High fever, Bleeding gums",Prednisone,1 capsule every morning with food
Mumps,"Red spots on skin, Fever",Ventolin,Take before sleep
Chickenpox,"Nausea, Sensitivity to light",Aspirin,Take 1 tablet every 6 hours
Hypertension,"Frequent urination, Increased thirst",Cetirizine,Use inhaler as needed
Mumps,"Nausea, Sensitivity to light",Metformin,1 tablet every 12 hours
Diabetes,"Jaundice, Dark urine, Fatigue",Rifampin,Take 2 tablets daily after meals
Arthritis,"Frequent urination, Increased thirst",Aspirin,Apply cream twice a day
Asthma,"Chills, Sweating, Muscle pain",Vitamin C,Inject once daily
Arthritis,"Persistent cough, Weight loss, Night sweats",Zinc Sulfate,Take 2 tablets daily after meals
Hepatitis B,"Nausea, Vomiting, Diarrhea",Loratadine,1 capsule every morning with food
Malaria,"Red spots on skin, Fever",Isoniazid,Take with water after meals
Mumps,"Fever, Loss of taste/smell",Amoxicillin,Apply cream twice a day
Common Cold,"Cough, Mucus production",Prednisone,Take 1 tablet every 6 hours
Bronchitis,"Fever, Loss of taste/smell",Aspirin,1 capsule every morning with food
Measles,"Chills, Sweating, Muscle pain",Vitamin C,1 capsule every morning with food
Chickenpox,"Nausea, Vomiting, Diarrhea",Methotrexate,Take 2 tablets daily after meals
Sinusitis,"Frequent urination, Increased thirst",Loratadine,Use inhaler as needed
Bronchitis,"Joint pain, Swelling",Metformin,Take before sleep
Food Poisoning,"Abdominal pain, High fever, Loss of appetite",Rifampin,Use inhaler as needed
COVID-19,"Swollen salivary glands, Fever",Aspirin,Apply cream twice a day
COVID-19,"Sneezing, Sore throat",Prednisone,Use inhaler as needed
Typhoid,"Fever, Loss of taste/smell",Doxycycline,Take 1 tablet every 6 hours
COVID-19,"Cough, Mucus production",Chloroquine,Inject once daily
Food Poisoning,"Skin rash, Fever",Methotrexate,Inject once daily
Mumps,"Headache, Dizziness, Blurred vision",Loratadine,Apply cream twice a day
Malaria,"Persistent cough, Weight loss, Night sweats",Vitamin C,Use inhaler as needed
Dengue,"Swollen salivary glands, Fever",Ventolin,1 tablet every 12 hours
Food Poisoning,"Nausea, Sensitivity to light",Vitamin C,Take 1 tablet every 6 hours
Diabetes,"Skin rash, High fever, Bleeding gums",Isoniazid,Take 1 tablet every 6 hours
Food Poisoning,"Skin rash, Fever",Omeprazole,Take 5ml syrup before bedtime
Hepatitis B,"Frequent urination, Increased thirst",Azithromycin,Apply cream twice a day
Tuberculosis,"Skin rash, Fever",Zinc Sulfate,1 tablet every 12 hours
Food Poisoning,"Sneezing, Sore throat",Cetirizine,Take 5ml syrup before bedtime
Bronchitis,"Cough, Mucus production",Prednisone,Take before sleep
Common Cold,"Fever, Cough, Fatigue",Loratadine,Use inhaler as needed
Food Poisoning,"Wheezing, Shortness of breath",Cetirizine,1 capsule every morning with food
Influenza,"Wheezing, Shortness of breath",Azithromycin,Take 5ml syrup before bedtime
Hepatitis B,"Red spots on skin, Fever",Azithromycin,Take 5ml syrup before bedtime
Food Poisoning,"Frequent urination, Increased thirst",Ventolin,Take with water after meals
COVID-19,"Shortness of breath, Chest pain",Loratadine,Take 1 tablet every 6 hours
Typhoid,"Abdominal pain, High fever, Loss of appetite",Losartan,1 capsule every morning with food
Tuberculosis,"Shortness of breath, Chest pain",Chloroquine,Take 1 tablet every 6 hours
Typhoid,"Chills, Sweating, Muscle pain",Ibuprofen,Use inhaler as needed
Mumps,"Fever, Loss of taste/smell",Ibuprofen,Take 1 tablet every 6 hours
Dengue,"Swollen salivary glands, Fever",Chloroquine,Inject once daily
Migraine,"Chills, Sweating, Muscle pain",Prednisone,Take 5ml syrup before bedtime
Migraine,"Persistent cough, Weight loss, Night sweats",Ventolin,1 capsule every morning with food
Migraine,"Swollen salivary glands, Fever",Methotrexate,Take before sleep
Hepatitis B,"Fever, Cough, Fatigue",Methotrexate,Take 5ml syrup before bedtime
Hypertension,"Abdominal pain, High fever, Loss of appetite",Paracetamol,Take before sleep
Hypertension,"Nausea, Sensitivity to light",Prednisone,Take before sleep
Diabetes,"Skin rash, Fever",Methotrexate,Inject once daily
Migraine,"Nausea, Sensitivity to light",Doxycycline,Take 5ml syrup before bedtime
Tuberculosis,"Shortness of breath, Chest pain",Prednisone,1 tablet every 12 hours
Arthritis,"Fever, Cough, Fatigue",Paracetamol,1 capsule every morning with food
Food Poisoning,"Fever, Loss of taste/smell",Chloroquine,Take with water after meals
Pneumonia,"Joint pain, Swelling",Prednisone,1 tablet every 12 hours
Asthma,"Nausea, Vomiting, Diarrhea",Isoniazid,Take 5ml syrup before bedtime
Bronchitis,"Shortness of breath, Chest pain",Cetirizine,Inject once daily
Dengue,"Chills, Sweating, Muscle pain",Methotrexate,Take 2 tablets daily after meals
Hepatitis B,"Jaundice, Dark urine, Fatigue",Vitamin C,Apply cream twice a day
Food Poisoning,"Skin rash, Fever",Aspirin,Take before sleep
Bronchitis,"Joint pain, Swelling",Vitamin C,Inject once daily
Malaria,"Swollen salivary glands, Fever",Vitamin C,Take 1 tablet every 6 hours
Pneumonia,"Joint pain, Swelling",Metformin,Apply cream twice a day
Asthma,"Abdominal pain, High fever, Loss of appetite",Loratadine,1 capsule every morning with food
Hepatitis B,"Abdominal pain, High fever, Loss of appetite",Cetirizine,1 tablet every 12 hours
Asthma,"Facial pain, Runny nose, Headache",Omeprazole,Inject once daily
Malaria,"Facial pain, Runny nose, Headache",Aspirin,Inject once daily
Pneumonia,"Chills, Sweating, Muscle pain",Omeprazole,Apply cream twice a day
Food Poisoning,"Persistent cough, Weight loss, Night sweats",Paracetamol,Take 5ml syrup before bedtime
Tuberculosis,"Headache, Dizziness, Blurred vision",Ventolin,1 capsule every morning with food
Hepatitis C,"Fever, Loss of taste/smell",Ibuprofen,1 capsule every morning with food
Hepatitis C,"Red spots on skin, Fever",Paracetamol,Inject once daily
Diabetes,"Jaundice, Dark urine, Fatigue",Losartan,1 tablet every 12 hours
Tuberculosis,"Skin rash, High fever, Bleeding gums",Losartan,Take with water after meals
Arthritis,"Abdominal pain, High fever, Loss of appetite",Methotrexate,Apply cream twice a day
Migraine,"Chills, Sweating, Muscle pain",Isoniazid,Inject once daily
Migraine,"Fever, Loss of taste/smell",Cetirizine,Take before sleep
COVID-19,"Skin rash, High fever, Bleeding gums",Metformin,Inject once daily
Hepatitis B,"Wheezing, Shortness of breath",Ibuprofen,Apply cream twice a day
Mumps,"Red spots on skin, Fever",Cetirizine,Take before sleep
Typhoid,"Joint pain, Swelling",Losartan,Inject once daily
Asthma,"Sneezing, Sore throat",Loratadine,Take before sleep
Measles,"Jaundice, Dark urine, Fatigue",Omeprazole,Use inhaler as needed
Arthritis,"Swollen salivary glands, Fever",Chloroquine,Apply cream twice a day
Arthritis,"Fever, Loss of taste/smell",Vitamin C,Take 2 tablets daily after meals
Sinusitis,"Skin rash, Fever",Azithromycin,1 tablet every 12 hours
Typhoid,"Fever, Cough, Fatigue",Amoxicillin,Take with water after meals
Sinusitis,"Headache, Dizziness, Blurred vision",Artemether,Take 1 tablet every 6 hours
Asthma,"Cough, Mucus production",Zinc Sulfate,Take 2 tablets daily after meals
Common Cold,"Abdominal pain, High fever, Loss of appetite",Methotrexate,1 capsule every morning with food
Tuberculosis,"Fever, Cough, Fatigue",Hydroxychloroquine,Inject once daily
Chickenpox,"Frequent urination, Increased thirst",Paracetamol,Take 1 tablet every 6 hours
COVID-19,"Joint pain, Swelling",Ventolin,Take 2 tablets daily after meals
Pneumonia,"Skin rash, High fever, Bleeding gums",Hydroxychloroquine,Take before sleep
Hepatitis C,"Frequent urination, Increased thirst",Isoniazid,Take 2 tablets daily after meals
Influenza,"Frequent urination, Increased thirst",Aspirin,Take 2 tablets daily after meals
Tuberculosis,"Chills, Sweating, Muscle pain",Omeprazole,Take 5ml syrup before bedtime
Asthma,"Abdominal pain, High fever, Loss of appetite",Amoxicillin,1 capsule every morning with food
Typhoid,"Nausea, Vomiting, Diarrhea",Azithromycin,Take 5ml syrup before bedtime
COVID-19,"Cough, Mucus production",Cetirizine,Apply cream twice a day
Hepatitis C,"Frequent urination, Increased thirst",Aspirin,Apply cream twice a day
Hepatitis C,"Jaundice, Dark urine, Fatigue",Azithromycin,Take before sleep
Hepatitis C,"Chills, Sweating, Muscle pain",Prednisone,Take 2 tablets daily after meals
Chickenpox,"Swollen salivary glands, Fever",Prednisone,Inject once daily
Tuberculosis,"Skin rash, High fever, Bleeding gums",Methotrexate,Apply cream twice a day
Chickenpox,"Frequent urination, Increased thirst",Cetirizine,Take with water after meals
Sinusitis,"Jaundice, Dark urine, Fatigue",Rifampin,Take before sleep
Food Poisoning,"Cough, Mucus production",Methotrexate,Take 1 tablet every 6 hours
Arthritis,"Headache, Dizziness, Blurred vision",Aspirin,Take before sleep
Measles,"Jaundice, Dark urine, Fatigue",Zinc Sulfate,1 capsule every morning with food
Migraine,"Red spots on skin, Fever",Loratadine,Inject once daily
Asthma,"Cough, Mucus production",Chloroquine,Take with water after meals
Typhoid,"Abdominal pain, High fever, Loss of appetite",Vitamin C,Take 5ml syrup before bedtime
Mumps,"Chills, Sweating, Muscle pain",Loratadine,Take 5ml syrup before bedtime
Common Cold,"Frequent urination, Increased thirst",Vitamin C,1 tablet every 12 hours
Measles,"Nausea, Sensitivity to light",Azithromycin,Take 2 tablets daily after meals
Migraine,"Nausea, Sensitivity to light",Amoxicillin,Take 1 tablet every 6 hours
Dengue,"Skin rash, Fever",Hydroxychloroquine,Use inhaler as needed
Sinusitis,"Cough, Mucus production",Doxycycline,Use inhaler as needed
Measles,"Facial pain, Runny nose, Headache",Chloroquine,Take before sleep
Migraine,"Red spots on skin, Fever",Azithromycin,Take 1 tablet every 6 hours
COVID-19,"Nausea, Vomiting, Diarrhea",Isoniazid,Take 1 tablet every 6 hours
Hepatitis C,"Persistent cough, Weight loss, Night sweats",Ventolin,Take before sleep
Tuberculosis,"Skin rash, Fever",Artemether,Inject once daily
Malaria,"Joint pain, Swelling",Paracetamol,1 capsule every morning with food
Typhoid,"Headache, Dizziness, Blurred vision",Rifampin,Inject once daily
Pneumonia,"Joint pain, Swelling",Doxycycline,Use inhaler as needed
Hepatitis B,"Wheezing, Shortness of breath",Rifampin,Apply cream twice a day
Measles,"Joint pain, Swelling",Omeprazole,Inject once daily
Asthma,"Swollen salivary glands, Fever",Prednisone,1 capsule every morning with food
Asthma,"Fever, Loss of taste/smell",Metformin,Take 2 tablets daily after meals
Hypertension,"Nausea, Sensitivity to light",Prednisone,Use inhaler as needed
Migraine,"Jaundice, Dark urine, Fatigue",Methotrexate,1 tablet every 12 hours
Chickenpox,"Red spots on skin, Fever",Cetirizine,Take before sleep
Food Poisoning,"Nausea, Sensitivity to light",Cetirizine,Take with water after meals
Tuberculosis,"Nausea, Vomiting, Diarrhea",Paracetamol,Inject once daily
Mumps,"Nausea, Sensitivity to light",Artemether,1 tablet every 12 hours
Hepatitis B,"Swollen salivary glands, Fever",Prednisone,1 capsule every morning with food
Dengue,"Jaundice, Dark urine, Fatigue",Zinc Sulfate,Take 2 tablets daily after meals
Asthma,"Sneezing, Sore throat",Losartan,Use inhaler as needed
Hypertension,"Nausea, Vomiting, Diarrhea",Ventolin,Take 1 tablet every 6 hours
Chickenpox,"Sneezing, Sore throat",Doxycycline,Apply cream twice a day
Hypertension,"Shortness of breath, Chest pain",Ventolin,Use inhaler as needed
Typhoid,"Nausea, Vomiting, Diarrhea",Artemether,Apply cream twice a day
Measles,"Joint pain, Swelling",Aspirin,Take 1 tablet every 6 hours
Arthritis,"Chills, Sweating, Muscle pain",Zinc Sulfate,Take with water after meals
Measles,"Sneezing, Sore throat",Hydroxychloroquine,1 tablet every 12 hours
Mumps,"Wheezing, Shortness of breath",Artemether,1 capsule every morning with food
Arthritis,"Chills, Sweating, Muscle pain",Aspirin,Use inhaler as needed
Hepatitis C,"Chills, Sweating, Muscle pain",Prednisone,Inject once daily
Chickenpox,"Cough, Mucus production",Rifampin,Use inhaler as needed
Hepatitis B,"Joint pain, Swelling",Aspirin,1 capsule every morning with food
Arthritis,"Wheezing, Shortness of breath",Azithromycin,Take 2 tablets daily after meals
Sinusitis,"Persistent cough, Weight loss, Night sweats",Paracetamol,Take 5ml syrup before bedtime
Food Poisoning,"Abdominal pain, High fever, Loss of appetite",Chloroquine,Take with water after meals
Chickenpox,"Persistent cough, Weight loss, Night sweats",Amoxicillin,Take 2 tablets daily after meals
Hepatitis C,"Nausea, Vomiting, Diarrhea",Metformin,Take 2 tablets daily after meals
Measles,"Skin rash, Fever",Loratadine,Use inhaler as needed
Diabetes,"Fever, Cough, Fatigue",Prednisone,Use inhaler as needed
Hepatitis B,"Shortness of breath, Chest pain",Hydroxychloroquine,1 capsule every morning with food
COVID-19,"Nausea, Vomiting, Diarrhea",Methotrexate,Take 5ml syrup before bedtime
Malaria,"Swollen salivary glands, Fever",Prednisone,Inject once daily
Bronchitis,"Nausea, Sensitivity to light",Hydroxychloroquine,Inject once daily
Tuberculosis,"Abdominal pain, High fever, Loss of appetite",Vitamin C,Take with water after meals
Malaria,"Persistent cough, Weight loss, Night sweats",Azithromycin,Take 5ml syrup before bedtime
Chickenpox,"Facial pain, Runny nose, Headache",Azithromycin,Take before sleep
Chickenpox,"Skin rash, Fever",Ibuprofen,Take with water after meals
Mumps,"Joint pain, Swelling",Omeprazole,Take 1 tablet every 6 hours
Influenza,"Chills, Sweating, Muscle pain",Ibuprofen,Take before sleep
Asthma,"Shortness of breath, Chest pain",Vitamin C,Take 5ml syrup before bedtime
Tuberculosis,"Facial pain, Runny nose, Headache",Doxycycline,Apply cream twice a day
Typhoid,"Nausea, Sensitivity to light",Doxycycline,1 capsule every morning with food
Common Cold,"Fever, Cough, Fatigue",Methotrexate,1 tablet every 12 hours
Typhoid,"Skin rash, Fever",Losartan,Take 5ml syrup before bedtime
Hepatitis C,"Fever, Cough, Fatigue",Prednisone,Take 2 tablets daily after meals
Bronchitis,"Fever, Loss of taste/smell",Ibuprofen,Use inhaler as needed
Hypertension,"Frequent urination, Increased thirst",Vitamin C,Take before sleep
Hepatitis C,"Fever, Cough, Fatigue",Aspirin,Take 2 tablets daily after meals
Influenza,"Skin rash, High fever, Bleeding gums",Hydroxychloroquine,Take with water after meals
Bronchitis,"Jaundice, Dark urine, Fatigue",Paracetamol,Take 2 tablets daily after meals
COVID-19,"Joint pain, Swelling",Metformin,Take before sleep
Influenza,"Shortness of breath, Chest pain",Chloroquine,Take 1 tablet every 6 hours
Chickenpox,"Shortness of breath, Chest pain",Doxycycline,Take with water after meals
Chickenpox,"Nausea, Vomiting, Diarrhea",Chloroquine,Take with water after meals
Dengue,"Sneezing, Sore throat",Ventolin,Use inhaler as needed
Hypertension,"Headache, Dizziness, Blurred vision",Omeprazole,Take with water after meals
Dengue,"Persistent cough, Weight loss, Night sweats",Vitamin C,Take 2 tablets daily after meals
Diabetes,"Wheezing, Shortness of breath",Artemether,Use inhaler as needed
Arthritis,"Abdominal pain, High fever, Loss of appetite",Artemether,Take 2 tablets daily after meals
Typhoid,"Persistent cough, Weight loss, Night sweats",Losartan,Take 1 tablet every 6 hours
Diabetes,"Red spots on skin, Fever",Chloroquine,1 tablet every 12 hours
Bronchitis,"Nausea, Vomiting, Diarrhea",Hydroxychloroquine,Apply cream twice a day
Bronchitis,"Facial pain, Runny nose, Headache",Vitamin C,Take 5ml syrup before bedtime
Bronchitis,"Frequent urination, Increased thirst",Metformin,Take 2 tablets daily after meals
Pneumonia,"Skin rash, High fever, Bleeding gums",Isoniazid,Use inhaler as needed
Asthma,"Abdominal pain, High fever, Loss of appetite",Cetirizine,Use inhaler as needed
Sinusitis,"Sneezing, Sore throat",Cetirizine,Take 5ml syrup before bedtime
Malaria,"Jaundice, Dark urine, Fatigue",Isoniazid,Take with water after meals
Tuberculosis,"Skin rash, High fever, Bleeding gums",Azithromycin,Take 2 tablets daily after meals
Bronchitis,"Skin rash, Fever",Loratadine,1 tablet every 12 hours
Typhoid,"Abdominal pain, High fever, Loss of appetite",Hydroxychloroquine,Take before sleep
Bronchitis,"Fever, Cough, Fatigue",Amoxicillin,Take before sleep
Hepatitis B,"Fever, Cough, Fatigue",Cetirizine,Take 2 tablets daily after meals
Diabetes,"Frequent urination, Increased thirst",Omeprazole,Use inhaler as needed
Typhoid,"Abdominal pain, High fever, Loss of appetite",Rifampin,Take 2 tablets daily after meals
Bronchitis,"Jaundice, Dark urine, Fatigue",Doxycycline,1 tablet every 12 hours
Mumps,"Headache, Dizziness, Blurred vision",Aspirin,1 tablet every 12 hours
Asthma,"Shortness of breath, Chest pain",Losartan,Take before sleep
Malaria,"Joint pain, Swelling",Loratadine,Inject once daily
Diabetes,"Wheezing, Shortness of breath",Prednisone,Take 1 tablet every 6 hours
Hypertension,"Abdominal pain, High fever, Loss of appetite",Vitamin C,Use inhaler as needed
Arthritis,"Facial pain, Runny nose, Headache",Losartan,Take 5ml syrup before bedtime
Migraine,"Joint pain, Swelling",Omeprazole,Use inhaler as needed
Measles,"Headache, Dizziness, Blurred vision",Rifampin,Take 1 tablet every 6 hours
Hepatitis C,"Persistent cough, Weight loss, Night sweats",Prednisone,1 tablet every 12 hours
Dengue,"Nausea, Sensitivity to light",Ibuprofen,1 tablet every 12 hours
Common Cold,"Headache, Dizziness, Blurred vision",Aspirin,Take before sleep
COVID-19,"Nausea, Sensitivity to light",Artemether,Take 2 tablets daily after meals
Dengue,"Fever, Loss of taste/smell",Prednisone,Use inhaler as needed
Dengue,"Cough, Mucus production",Hydroxychloroquine,Take 2 tablets daily after meals
Diabetes,"Headache, Dizziness, Blurred vision",Azithromycin,1 tablet every 12 hours
Common Cold,"Skin rash, Fever",Zinc Sulfate,1 tablet every 12 hours
Pneumonia,"Nausea, Vomiting, Diarrhea",Vitamin C,Apply cream twice a day
Diabetes,"Headache, Dizziness, Blurred vision",Ventolin,Take 5ml syrup before bedtime
Bronchitis,"Shortness of breath, Chest pain",Losartan,Use inhaler as needed
Chickenpox,"Chills, Sweating, Muscle pain",Zinc Sulfate,Take before sleep
Tuberculosis,"Persistent cough, Weight loss, Night sweats",Isoniazid,Take 2 tablets daily after meals
Pneumonia,"Joint pain, Swelling",Paracetamol,1 capsule every morning with food
Pneumonia,"Swollen salivary glands, Fever",Losartan,Take 1 tablet every 6 hours
Hepatitis B,"Joint pain, Swelling",Hydroxychloroquine,Take 1 tablet every 6 hours
COVID-19,"Nausea, Sensitivity to light",Vitamin C,1 tablet every 12 hours
Typhoid,"Chills, Sweating, Muscle pain",Amoxicillin,Take before sleep
Common Cold,"Wheezing, Shortness of breath",Paracetamol,Take 2 tablets daily after meals
